PARK_ID,Park_name,parkurl,operhours,restroom,adacomply,camping,picnic,playground,basketball,tennis,volleyball,spraygroun,mtbcycle,golf,boating,fishing,swimming,discgolf,shelter,walking,dogpark,ampitheate,motorboat,horseback,garden,historical,skatepark,interpreti,tabletenni,recgym,fitness,rvcamp,sailing,pickleball,multipurps,rcflyarea,flwrgarden,indorpavil,aquaticctr,ballfield,batingcage,bicycleltr,bmxtrack,bocciball,confcenter,concesstnd,firepit,funbrella,gagaball,gazebo,opngrnspac,highropes,horseshoe,environedu,dockpier,playsixty,rockclimb,seniorctr,shadearbor,shuflboard,trlrunning,grnwyacces,handball,arts,multiuser,playswings,parking,AmenitiesCount,picture,PARK_TYPE,Acres,Area,Length
SUNH,Sunset Hills Golf Course,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/172/attachments/1284?token=,GOLF COURSE,264.2773581,11511877.22,26710.36324
STPH,Buckeye Cove Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/169/attachments/1264?token=,NATURE PRESERVE,394.3626994,17178368.89,51400.38171
WCLT,West Charlotte Recreation Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,Basketball,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/190/attachments/2050?token=,,,,
WCPK,West Charlotte Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,ADA Compliance,,Picnic,Playground,Basketball,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/191/attachments/2051?token=,NEIGHBORHOOD PARK,3.21570916,140075.7264,1506.802033
WEPK,Romare Bearden Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,ADA Compliance,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,6,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/201/attachments/1295?token=,NEIGHBORHOOD PARK,5.09255342,221830.7443,1934.082215
COOK,Cook Park,https://www.huntersville.org/162/Parks-Recreation,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,REGIONAL PARK,147.1507965,6409864.348,11569.32991
UNCC,Kirk Farm Fields Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/183/attachments/1277?token=,COMMUNITY PARK,35.51703805,1547115.917,5050.700082
TOMH,Tom Hunter Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,Picnic,Playground,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/178/attachments/3202?token=,NEIGHBORHOOD PARK,8.38585803,365286.4719,2581.689162
RMBL,Ramblewood Soccer Complex,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,Playground,Basketball,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,9,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/152/attachments/2404?token=,COMMUNITY PARK,101.9338665,4440221.955,14290.39814
REVG,Charles L. Sifford Golf Course,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/148/attachments/3235?token=,GOLF COURSE,114.7570653,4998797.978,13468.39098
UNTY,Unity Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,,Tennis,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/185/attachments/2803?token=,NEIGHBORHOOD PARK,5.32990644,232170.0309,2213.524244
WBNP,West Branch Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/199/attachments/1263?token=,NATURE PRESERVE,90.59347073,3946235.728,8414.414554
REVP,Revolution Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,ADA Compliance,,,Playground,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,9,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/149/attachments/3233?token=,COMMUNITY PARK,30.45727067,1326713.57,6396.780555
SWCG,Smallwood Community Garden,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
EAST,Eastover Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,Yes,4,,NEIGHBORHOOD PARK,19.38726445,844505.9168,4362.617252
RGLF,Harry L. Jones Sr. Golf Course,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/150/attachments/2046?token=,GOLF COURSE,342.3314693,14911898.38,19069.49395
SPRG,Springfield Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,Picnic,,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/165/attachments/2049?token=,NEIGHBORHOOD PARK,11.52057966,501834.3927,3411.950346
YORK,Yorkmont Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/196/attachments/2048?token=,NEIGHBORHOOD PARK,2.62214987,114220.4514,1367.427352
KING,Wilmore Centennial Park at Southend,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,Picnic,Playground,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,4,,NEIGHBORHOOD PARK,1.25826495,54809.7954,961.0417076
GRNP,Greenville Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,,ADA Compliance,,,Playground,Basketball,,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,10,,,,,
STHW,Southwest Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/167/attachments/3232?token=,COMMUNITY PARK,89.83005156,3912981.318,19018.97329
CADI,The Effortless Golf Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/214/attachments/2022?token=,GOLF COURSE,26.928207,1172988.191,4491.286953
FRND,Friendship Sportsplex,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,ADA Compliance,,,Playground,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,7,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/225/attachments/1287?token=,REGIONAL PARK,4.03956726,175962.777,1849.599193
PROG,Progress Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,3,,NEIGHBORHOOD PARK,0.71778248,31266.49178,712.9791385
STPH,Buckeye Cove Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/223/attachments/1265?token=,NATURE PRESERVE,394.3626994,17178368.89,51400.38171
MDNC,McDowell Nature Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/224/attachments/2019?token=,,,,
CLAR,Clarks Creek Greenway Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,Yes,,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/219/attachments/1276?token=,,,,
ELZA,Elizabeth Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,ADA Compliance,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,Yes,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/205/attachments/3250?token=,,,,
BERE,Berewick Recreation Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/209/attachments/2014?token=,,,,
HAYP,Haymarket Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,NATURE PRESERVE,99.59992835,4338555.64,20470.14744
TNGP,Town Green Park,https://www.matthewsnc.gov/pview.aspx?id=20727&catid=0,Daylight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,1,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/694/attachments/1317?token=,,,,
MARM,Marmac Road Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,COMMUNITY PARK,22.49404468,979836.5372,7194.802352
WGRC,T.M. Winget Recreation Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/217/attachments/2016?token=,,,,
REDY,Reedy Creek Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,ADA Compliance,,,Playground,Basketball,,Volleyball,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,,,Yes,,Yes,,,,,,Yes,,,,,,,Yes,,,Yes,,,Yes,,,,,,,Yes,Yes,18,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/143/attachments/5?token=,REGIONAL PARK,299.0254924,13025499.05,16146.077
CLAN,Clanton Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,ADA Compliance,,,Playground,Basketball,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,10,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/256/attachments/3236?token=,COMMUNITY PARK,72.26306621,3147766.473,12287.65671
MELD,Melody Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
CCHG,Country Club Heights Community Garden,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/246/attachments/3255?token=,,,,
DOWD,Dowd Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,Picnic,Playground,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,NEIGHBORHOOD PARK,0.92517217,40300.27238,938.1860606
GRAY,Grayson Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,Basketball,Tennis,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/253/attachments/3222?token=,NEIGHBORHOOD PARK,12.13351886,528533.8176,3215.292446
LATC,Latta Recreation Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,,,,,
AFRM,Abersham Park,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,ADA Compliance,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,Yes,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/254/attachments/1219?token=,REGIONAL PARK,345.4902304,15049493.77,20748.16941
LSCG,Little Sugar Creek Community Garden,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/257/attachments/3212?token=,,,,
FBNP,Flat Branch Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/270/attachments/2025?token=,NATURE PRESERVE,42.22003027,1839096.729,6145.371703
WMJP,West Mecklenburg Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,NEIGHBORHOOD PARK,4.08524984,177952.8306,1706.913268
CLAG,Clanton Park Community Garden,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/268/attachments/3256?token=,,,,
OAKT,Oakhurst Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,Picnic,Playground,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,6,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/252/attachments/3220?token=,NEIGHBORHOOD PARK,5.13354037,223616.1928,2115.701786
MCDP,McDowell Creek Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,NEIGHBORHOOD PARK,14.68928441,639862.7519,4153.834046
LTLP,Little Peoples Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,3,,NEIGHBORHOOD PARK,0.19459616,8476.590568,410.5851612
EASP,Eastway Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,Picnic,Playground,Basketball,,Volleyball,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/265/attachments/801?token=,COMMUNITY PARK,90.43868874,3939493.922,11492.72301
RCNC,Reedy Creek Nature Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/262/attachments/4?token=,,,,
MDLP,Marion Diehl Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,Picnic,,,Tennis,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,13,,COMMUNITY PARK,58.84924965,2563462.558,9714.509085
LDNP,Lake Davidson Nature Preserve,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/272/attachments/1226?token=,,,,
RWPP,Roosevelt Wilson Park,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,Restroom,,,Picnic,Playground,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,7,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/274/attachments/1230?token=,,,,
MBTL,Mary Beaty Tot Lot,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,,,,Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/275/attachments/1225?token=,,,,
NSLP,North & South Lawn Park,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/276/attachments/2003?token=,,,,
CGTL,Caldwell Green Tot Lot,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,,,Picnic,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/277/attachments/1221?token=,,,,
FALK,Faulkner Square Park,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,1,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/279/attachments/1222?token=,,,,
